기간	구분	합계	남자	여자
2019	합계	429,489	216,594	212,895
2019	종로구	7,403	3,732	3,671
2019	중구	4,622	2,122	2,500
2019	용산구	8,604	4,258	4,346
2019	성동구	12,373	6,115	6,258
2019	광진구	15,620	7,669	7,951
2019	동대문구	15,268	7,393	7,875
2019	중랑구	16,900	8,737	8,163
2019	성북구	20,262	9,719	10,543
2019	강북구	13,611	6,884	6,727
2019	도봉구	15,457	7,929	7,528
2019	노원구	30,063	15,559	14,504
2019	은평구	21,637	10,980	10,657
2019	서대문구	14,060	6,964	7,096
2019	마포구	15,151	7,323	7,828
2019	양천구	23,941	12,562	11,379
2019	강서구	24,450	12,421	12,029
2019	구로구	16,659	8,597	8,062
2019	금천구	9,540	4,830	4,710
2019	영등포구	13,640	6,936	6,704
2019	동작구	16,521	8,169	8,352
2019	관악구	19,711	9,602	10,109
2019	서초구	19,026	9,572	9,454
2019	강남구	27,223	13,827	13,396
2019	송파구	28,347	14,493	13,854
2019	강동구	19,400	10,201	9,199
