bloggerlink,bloggername,cnt,description,link,postdate,title
https://blog.naver.com/riggbrok23,헤브니네 일상스토리♥,1,오랜만에 동료들과 시간맞춰 <b>건대입구</b> 맛집에 가서 맛있는 식사를 즐기고 왔어요. 저 뿐만 아니라 함께... 주문을 마치고 나니 <b>건대입구</b> 맛집 답게 상다리가 부러질 정도로 기본반찬을 맛깔나게 셋팅해주셨어요.... ,https://blog.naver.com/riggbrok23?Redirect=Log&logNo=221728024639,20191205,<b>건대입구</b> 맛집 제대로 찾았다!
https://blog.naver.com/mouche007,바비?랑 talk하며살자,2,고민없이 <b>건대입구</b>역 맛집 청도양꼬치로 앞으론 콜이야! 하며 다들 재방문을 약속 할만큼 만족스러웠던 시간였어요 ^^ 나오다보니 건대 양꼬치거리 에서 음식 문화 축제도 있더군요. 맛있는 먹거리들이 가득한... ,https://blog.naver.com/mouche007?Redirect=Log&logNo=221710667215,20191117,<b>건대입구</b>역 맛집 핫한 양꼬치 인걸
https://blog.naver.com/hohosuly,달콤 살벌한 그녀,3,마침 한명이 괜찮은 <b>건대입구</b> 맛집을 알고있다고 하여 다녀왔습니다. <b>건대입구</b>역 1번 출구로 나오니까 걸어서 3~4분 거리였습니다! 건물에 조명이 많아서 바로 찾을수 있었습니다. 친구 한명은 자차를... ,https://blog.naver.com/hohosuly?Redirect=Log&logNo=221729266428,20191206,<b>건대입구</b> 맛집 끝장내버렷!
https://blog.naver.com/01695969705,너구리의술장,4,불구하고 소화까지 편안했던거 같아요 그집돼지 건대점에서의 든든한 한 끼 덕분에 이날 2차까지 실컷 놀았던 저희의 하루가 더 보람찬 순간으로 남았답니다. 서울시 광진구 동일로20길 63 1층 (그집돼지 <b>건대입구</b>점),https://blog.naver.com/01695969705?Redirect=Log&logNo=221719604949,20191127,<b>건대입구</b> 고기집 만족스러운 회식장소
https://blog.naver.com/abddra23,동동형제와 알콩달콩중,5,입구를 보시면 알겠지만 지금은 특히나 화려한?ㅋㅋ 상태였기에 더욱 눈에 띄는 장소였죠! 그리고 주차장이 따로 있지는 않고 근처 건대CGV 주차장을 이용하시면 됩니다. 1분정도 걸린다고 보심 되요! <b>건대입구</b>... ,https://blog.naver.com/abddra23?Redirect=Log&logNo=221715804208,20191123,송년회에 적합한 <b>건대입구</b> 맛집
https://blog.naver.com/mjkwon7471,우꺄꺄꺅 메에로오옹,6,<b>건대입구</b> 맛집: 건대고기집 '최원석의돼지한판&amp;서해쭈꾸미'에서 여동생 생일축하! 여동생 생일이라서... 본 입구 문에서부터 아우라가 뿜뿜 ! 근데 진짜 맛있옹 . . . . (여동생의 방해되는 손 . . . . ㅋㅋㅋㅋ) 암튼... ,https://blog.naver.com/mjkwon7471?Redirect=Log&logNo=221707101616,20191114,<b>건대입구</b> 맛집: 건대고기집 '최원석의돼지한판&amp;서해쭈꾸미'에서... 
https://blog.naver.com/ajtwls1212,진짱월드,7,족발이 먹고 싶다는 친구들의 말에 <b>건대입구</b> 맛집 '돈수작'에 다녀왔어요! 기대 했던것 보다 훨씬... 서울시 광진구 아차산로31길 9-1 02-466-4535 주소 / 전화 ∴ 저희는 도보를 이용하여 방문했는데 <b>건대입구</b>역1번... ,https://blog.naver.com/ajtwls1212?Redirect=Log&logNo=221690801004,20191028,[<b>건대입구</b> 맛집] 돈수작 : 역대급이였어요!
https://blog.naver.com/crystalmr,맛집을 연구하다,8,[건대맛집/<b>건대입구</b>맛집] 중경식객 꼬치훠궈전문점 안녕하세요 이웃님들~ 날씨도 점점 추워지고 하고 매운음식이 살짝 땡기는날에 중국식 샤브샤브린 훠궈는 어떠신가요?? 요즘 한국엔 마라탕이 유명해지면서... ,https://blog.naver.com/crystalmr?Redirect=Log&logNo=221723539857,20191201,[건대맛집/<b>건대입구</b>맛집]  중경식객 꼬치훠궈전문점
https://blog.naver.com/hanee5538,Beyond the beauty,9,"정말 배불리, 맛나게먹고 온 최원석의 돼지한판 &amp; 서해쭈꾸미 건대1호점 정말 왜 <b>건대입구</b> 맛집 인지!!! 또 재방문 의사 100% 였어요 삼겹살 무조건! ㅎㅎㅎ 그리고 다음엔 서해쭈꾸미도 한번 먹어봐야겠어요... ",https://blog.naver.com/hanee5538?Redirect=Log&logNo=221728896372,20191206,<b>건대입구</b> 맛집 최원석의 돼지한판&amp;서해쭈꾸미 건대1호점 건대... 
https://blog.naver.com/jinni615,진니의 달콤주방이야기,10,"홍대에서 건대까지 30분 이상은 걸리더라구요 :) 그런데 예전부터 저희가 먹어보고 싶었던 음식점이 있어서 가보기로 했답니다. 이번에 간 곳은 <b>건대입구</b> 맛집 마초쉐프에요! 매일 오전 11:30- 밤 22:30분, 마지막... ",https://blog.naver.com/jinni615?Redirect=Log&logNo=221640061318,20190905,오늘은 요리보단 <b>건대입구</b> 맛집 투어~
