",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
"0,Null,저녁뭐먹지,출근길,영하9도,food,다구워주심,f4f,ootd,먹방인플루언서,like4likes,likeforlikes,3인분가능,いいね,いいね返し,퇴근길,아침,스낵카일,하남돼지집,フォロバ,フォロ?,건대맛집,편안,삼겹살,추워,lfl,삼최몇,건대입구,インスタ映え,,,"
"1,yejinn_96,알콜스타그램,숙취,술스타그램,숙취해소,캐칭환,숙취차단제,,,,,,,,,,,,,,,,,,,,,,,,"
"2,y_seooo_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"3,eunjung.hahm,건대입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"4,cockokonii,데이트,남편,부부스타그램,아들맘,건대입구맛집,럽스타그램,부부,육아맘,건대입구,바오쯔,,,,,,,,,,,,,,,,,,,,"
"5,dur_sla.a,일상,일상그램,셀피그램,일상스타그램,일상샷,휴무끝,팔로우,건대,건대입구,좋아요,셀스타그램,셀카,출근,사가정,월요일,셀피,소통,휴무,,,,,,,,,,,,"
"6,d_dxxii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"7,firstlee.woo_sun,건대입구,과제,follow,selfie,카페온더플랜,셀카,일상,데일리,소통,셀스타그램,셀피,건대,뷰티크리에이터,,,,,,,,,,,,,,,,,"
"8,ryu_522,건대입구역맛집,건대입구역,1992잔나비술집,건대입구맛집,단골매장,건대술집,1992잔나비,건대맛집추천,건대핫플,건대맛집,나만알고싶은맛집,건대입구,건대데이트,건대데이트코스,,,,,,,,,,,,,,,,"
"9,wfdw6,훈남,힐링장소,행사,건대,헌팅,건대맛집,콘서트,훈녀,오늘의훈남,건대입구,건대카페,이벤트,축제,오늘의훈녀,건대술집,공연,페이스,공연스타그램,축제스타그램,헌팅술집,놀기,건대핫플,,,,,,,,"
"10,chae_jongmin,맞팔,건대입구,군바리놀아주기힘드네,삼거리포차,,,,,,,,,,,,,,,,,,,,,,,,,,"
"11,deokyeon__,전포여관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"12,wfdw6,헌팅술집,훈남,페이스,건대맛집,축제,힐링장소,훈녀,건대핫플,콘서트,공연,놀기,건대술집,이벤트,건대카페,공연스타그램,헌팅,오늘의훈녀,오늘의훈남,행사,건대,축제스타그램,건대입구,,,,,,,,"
"13,taro_0513,강남,가로수길,감성,술집,일상,건대술집,서울,데일리,잔나비,원숭이,신사,daily,건대,원숭이띠,얼스타그램,감성술집,피어싱,ootd,셀카,데일리룩,셀스타스램,셀기꾼,selca,1992,애쉬그레이,건대입구,탈색,,,"
"14,haneul_bitkkal,노라조,노라조_원흠생일,ノラジョ,아워플래닛,happy_onehmday,repost,건대카페,샤워,냥토피아,망원동,ourplanet,norazo,망원카페,원흠,생일이벤트,onehm,건대입구,컵홀더이벤트,컵홀더,,,,,,,,,,,"
"15,moveo_22 on Instagra,건대입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"16,hyojunng_,가로수길맛집,동성로맛집,이태원,건대입구,해방촌,경리단길,혁신도시,청담맛집,신사맛집,부산맛집,청담,삼산동,신림,객리단길,홍대,압구정,우사단길,강남,이태원맛집,남포동,달맞이길,대전,서면맛집,전포카페거리,홍대맛집,신사,일산,전주,,"
"17,jascese,건대입구,안티크코코,건대핫플,건대맛집,건대카페,인스타감성,건대역맛집,건대역,건대카페안티크코코,건대cgv,,,,,,,,,,,,,,,,,,,,"
