"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"2019","2","D","발달상권","1001134","서울 영등포구 여의도역_2","92","2","19","","","9","","","","","","","","2","1","","","","1","11"
"2019","2","R","전통시장","1001361","신도봉시장","1","","","","","","","","","","","","1","","","","","","",""
"2019","2","R","전통시장","1001387","서교시장","2","","","","","","","","","","","","","2","","","","","",""
"2019","2","R","전통시장","1001366","상계시장","1","","","","","","","","","","","","1","","","","","","",""
"2019","2","R","전통시장","1001308","영동교골목시장","4","","","","","","1","","","","","","","","2","","","","",""
"2019","2","R","전통시장","1001463","신림중앙시장","3","","","","","1","","","","","","","","","","","","","","1"
"2019","2","R","전통시장","1001327","이경시장","4","","","","","1","","","","","","","","","2","","","","","1"
"2019","2","A","골목상권","1000950","백제고분로42길","4","","","","","","","","","","","","","","2","","","","",""
"2019","2","A","골목상권","1000788","낙성대역길","6","1","","","","","","","","","","","","","1","","","","",""
"2019","2","A","골목상권","1000642","디지털로27길","3","","","","","","","","","","","","","","","","","","","1"
"2019","2","A","골목상권","1000546","중앙로47길","1","","","","","","","","","","","","","","","","","","",""
"2019","2","A","골목상권","1000575","공항대로42길","5","","1","","","","","","","","","","","","","","","","","2"
"2019","2","A","골목상권","1000434","통일로92길","7","1","","","","","","","","","","","","","1","","","","",""
"2019","2","A","골목상권","1000475","망원로11길","8","","1","","","","","","","","","","","","","","","","","1"
"2019","2","A","골목상권","1000406","연서로29길","7","","","","","1","","","","","","","","","3","","","","","1"
"2019","2","A","골목상권","1000266","돌곶이로41길","6","","","","","2","","","","","","","","","","","","","","2"
"2019","2","D","발달상권","1001152","서울 광진구 강변역","10","1","4","","","1","","","","","","","","1","","","","","","1"
"2019","2","A","골목상권","1000569","곰달래로25길","8","1","","","","1","","","","","","","","","1","","","","",""
"2019","2","A","골목상권","1000797","남부순환로161길","16","","","","","2","","","","","","","","","1","","","","","2"
