"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"2019","2","A","골목상권","1000156","용마산로21길","147","7","3","","1","16","1","2","2","3","","","1","","5","","","","1","36"
"2019","2","A","골목상권","1000668","범안로11길","96","3","6","","1","3","2","1","1","","","","","","7","","","","1","40"
"2019","2","A","골목상권","1000744","등용로14길","120","8","4","","","7","","1","1","1","","","3","","28","","","","","27"
"2019","2","A","골목상권","1000797","남부순환로161길","75","3","2","","1","11","1","1","1","","","","","","3","","","","","15"
"2019","2","A","골목상권","1000823","신원로3길","110","4","3","","1","13","1","1","","","","","","","10","","","","","18"
"2019","2","A","골목상권","1000808","법원단지9길","76","","2","","","13","2","","1","1","","","","","","","","","","22"
"2019","2","A","골목상권","1000788","낙성대역길","149","6","6","","","13","2","1","","","","","2","5","10","","","","1","25"
"2019","2","A","골목상권","1000679","시흥대로63길","115","3","6","2","3","13","1","","","","","","","","4","","","","1","23"
"2019","2","A","골목상권","1000758","상도로37길","92","2","","","","9","3","","","","","","","","12","","","","1","18"
"2019","2","A","골목상권","1000720","양평로22라길","88","4","2","","2","8","2","1","","1","","","","4","3","","","","1","24"
"2019","2","A","골목상권","1000698","대림로8길","128","2","6","2","3","19","3","1","1","","","","","","9","","","","","24"
"2019","2","A","골목상권","1000829","조원로10길","161","6","4","","3","17","1","1","","","","","","1","22","","","","1","29"
"2019","2","A","골목상권","1000817","신림로28길","153","4","3","","","16","3","1","","","","","2","","36","","","","","31"
"2019","2","A","골목상권","1000806","대학길","105","3","1","","","7","1","1","","","","","1","","52","","","","","23"
"2019","2","A","골목상권","1000673","시흥대로141길","133","5","7","","4","12","1","2","1","","","","1","","7","","","","","42"
"2019","2","A","골목상권","1000818","신림로38길","53","2","1","","","2","2","","1","2","","","","","6","","","","","17"
"2019","2","A","골목상권","1000159","자양로15길","148","6","8","","2","20","3","2","2","1","","","","","13","","","","1","14"
"2019","2","A","골목상권","1000219","휘경로23길","62","3","","","","7","2","","","","","","","","5","","","","1","11"
"2019","2","A","골목상권","1000216","한천로40길","78","2","1","","3","10","2","","","","","","","","2","","","","","19"
"2019","2","A","골목상권","1000227","답십리로75길","68","2","","","","6","1","1","1","","","","","","2","","","","","11"
"2019","2","A","골목상권","1000226","공릉로2길","123","4","1","","1","11","","","1","","","","","","1","","","","1","22"
"2019","2","A","골목상권","1000229","동일로101길","125","4","2","","1","13","3","2","","","","","1","","2","","","","","29"
"2019","2","A","골목상권","1000203","전농로29길","112","4","3","","","12","2","1","1","2","26","","","","3","","","","1","20"
"2019","2","A","골목상권","1000214","한천로14길","99","7","2","","2","16","2","1","1","","","","","","2","","","","","15"
"2019","2","A","골목상권","1000206","제기로21길","63","5","1","","","4","3","1","1","1","","","","2","4","","","","","17"
"2019","2","A","골목상권","1000198","장한로26길","128","2","4","","3","15","2","1","","","","","","","6","","","","","20"
"2019","2","A","골목상권","1000185","사가정로23가길","86","2","1","","2","10","1","2","1","1","","","1","","1","","","","","23"
"2019","2","A","골목상권","1000179","망우로18가길","78","3","1","","1","6","1","1","1","","31","","","","3","","","","1","7"
"2019","2","A","골목상권","1000585","등촌로39길","45","4","1","","1","4","1","2","1","1","3","","1","","","","","","","4"
"2019","2","A","골목상권","1000299","정릉로8길","60","3","","","","1","","","2","1","13","","","1","2","","","","","15"
"2019","2","A","골목상권","1000324","도봉로76길","217","4","5","","3","18","1","","1","1","3","","2","","16","","","","1","25"
"2019","2","A","골목상권","1000315","노해로17길","100","3","3","","1","17","2","1","","","","","","","8","","","","","19"
"2019","2","A","골목상권","1000294","인촌로6길","77","4","4","","2","8","2","1","","","","","1","","2","","","","1","12"
"2019","2","A","골목상권","1000307","한천로101가길","95","3","","","","7","3","4","1","","","","2","2","","","","","","38"
"2019","2","A","골목상권","1000306","창경궁로43길","160","5","4","","","13","4","1","2","2","7","","3","2","16","","","","1","31"
"2019","2","A","골목상권","1000305","지봉로20길","83","2","3","","2","7","5","1","","1","","","1","","1","","","","1","13"
"2019","2","A","골목상권","1000302","종암로21길","134","7","2","","","11","1","1","","","","","","","4","","","","","34"
"2019","2","A","골목상권","1000278","삼선교로10길","141","3","6","","","14","2","1","1","1","20","","1","","6","","","","1","27"
"2019","2","A","골목상권","1000018","종로58가길","147","4","6","","","11","1","","","1","","","1","4","13","","","","2","22"
"2019","2","A","골목상권","1000257","용마산로112길","82","5","1","","2","8","2","1","1","","","","1","","2","","","","","18"
"2019","2","A","골목상권","1000266","돌곶이로41길","68","1","","","","5","2","1","","","","","","2","","","","","","28"
"2019","2","A","골목상권","1000246","면목로55길","77","3","1","","1","11","3","1","","","","","1","","3","","","","","9"
"2019","2","A","골목상권","1000146","뚝섬로48길","78","3","2","","","5","3","2","1","1","","","","4","","","","","","13"
"2019","2","A","골목상권","1000007","북촌로5길","194","8","4","","","3","1","1","1","2","","","","37","42","","","","","43"
"2019","2","A","골목상권","1000129","광나루로36길","103","4","4","","1","8","3","","1","1","","","2","4","7","","","","","18"
"2019","2","A","골목상권","1000143","동일로24길","120","2","6","","2","10","1","2","","","","","1","","26","","","","1","11"
"2019","2","A","골목상권","1000061","신흥로20길","84","6","","","","6","","1","2","2","","","","4","3","","","","","27"
"2019","2","A","골목상권","1000112","송정4가길","111","4","4","","1","10","","","","","","","","1","12","","","","","18"
"2019","2","A","골목상권","1000617","경인로15길","78","3","1","","1","10","2","","","","","","","","3","","","","","15"
"2019","2","A","골목상권","1000248","면목로78길","167","1","3","","1","17","2","1","","","","","1","","5","","","","1","27"
"2019","2","A","골목상권","1000566","강서로8길","137","3","3","","","8","1","2","","","","","","","9","","","","2","21"
"2019","2","A","골목상권","1000641","도림로6길","104","1","2","","","11","2","2","","","","","","","4","","","","1","18"
"2019","2","A","골목상권","1000607","화곡로59길","106","8","5","1","1","10","","","","2","1","","1","1","7","","","","","22"
"2019","2","A","골목상권","1000633","구로중앙로19길","84","6","5","2","1","11","","2","1","","","","","","7","","","","","14"
"2019","2","A","골목상권","1000591","양천로14길","110","3","3","","3","10","3","1","","2","","","1","","3","","","","1","20"
"2019","2","A","골목상권","1000423","증산로15길","53","3","","","","3","2","1","3","1","","","","","1","","","","1","13"
"2019","2","A","골목상권","1000401","연서로16길","148","2","3","1","1","14","3","2","1","2","","","2","","4","","","","1","28"
"2019","2","A","골목상권","1000349","한천로132길","123","6","4","1","3","11","1","","","","","","","","5","","","","","24"
"2019","2","A","골목상권","1000523","목동중앙남로3가길","69","1","2","","","9","2","1","1","2","","","","","2","","","","","9"
