"기준_년월_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","엑스좌표_값","와이좌표_값","시군구_코드","행정동_코드","형태정보"
"201810","R","전통시장","1001453","낙성대시장","196121","442084","11620","11620585",""
"201810","R","전통시장","1001454","봉천제일종합시장","195147","442413","11620","11620595",""
"201810","R","전통시장","1001474","도곡시장","204551","444227","11680","11680650",""
"201810","R","전통시장","1001475","강남개포시장","206065","443310","11680","11680670",""
"201810","R","전통시장","1001412","화곡본동시장","186203","449328","11500","11500590",""
"201810","R","전통시장","1001413","까치산시장","186493","448134","11500","11500593",""
"201810","R","전통시장","1001414","송화골목시장","185468","449994","11500","11500611",""
"201810","R","전통시장","1001452","중부시장","196125","442779","11620","11620575",""
"201810","R","전통시장","1001415","방신전통시장","183436","452447","11500","11500630",""
"201810","R","전통시장","1001416","공항시장","183061","451453","11500","11500640",""
"201810","R","전통시장","1001423","독산동 우시장","190850","440835","11545","11545610",""
"201810","R","전통시장","1001424","남문시장","191252","441586","11545","11545630",""
"201810","R","전통시장","1001425","푸른터시장","191280","442074","11545","11545630",""
"201810","R","전통시장","1001426","대명시장","191352","439419","11545","11545670",""
"201810","R","전통시장","1001427","현대시장","191405","439748","11545","11545670",""
"201810","R","전통시장","1001428","박미시장","191603","437870","11545","11545690",""
"201810","R","전통시장","1001429","은행나무시장","191997","439104","11545","11545710",""
"201810","R","전통시장","1001470","강남시장_강남","201829","446589","11680","11680510",""
"201810","R","전통시장","1001372","녹번시장","193917","455718","11380","11380580",""
"201810","R","전통시장","1001373","신응암시장","192811","454967","11380","11380590",""
"201810","R","전통시장","1001374","대림골목시장","192695","454174","11380","11380600",""
"201810","R","전통시장","1001480","새마을시장","207504","445512","11710","11710650",""
"201810","R","전통시장","1001440","노량진중앙시장","195108","445854","11590","11590510",""
"201810","R","전통시장","1001441","본동인정시장","195635","445813","11590","11590510",""
"201810","R","전통시장","1001442","신노량진시장","194668","445449","11590","11590520",""
"201810","R","전통시장","1001443","강남시장_동작","195878","444164","11590","11590530",""
"201810","R","전통시장","1001444","상도전통시장","195766","444412","11590","11590530",""
"201810","R","전통시장","1001445","영도시장","194738","444982","11590","11590540",""
"201810","R","전통시장","1001446","성대시장","193926","444480","11590","11590550",""
"201810","R","전통시장","1001375","증산종합시장","191630","453574","11380","11380640",""
"201810","R","전통시장","1001376","수일시장","190738","453732","11380","11380650",""
"201810","R","전통시장","1001460","관악신사시장","192646","442975","11620","11620685",""
"201810","R","전통시장","1001461","신림종합시장","192665","442804","11620","11620685",""
"201810","R","전통시장","1001462","강남골목시장","191582","442585","11620","11620725",""
"201810","R","전통시장","1001463","신림중앙시장","192178","442651","11620","11620725",""
"201810","R","전통시장","1001464","삼성동시장","194016","441265","11620","11620745",""
"201810","R","전통시장","1001465","신신림시장","193991","441257","11620","11620745",""
"201810","R","전통시장","1001466","미성동도깨비시장","192616","441651","11620","11620765",""
"201810","R","전통시장","1001467","우림시장","192957","441202","11620","11620775",""
"201810","R","전통시장","1001437","영진시장A동","192550","444547","11560","11560680",""
"201810","R","전통시장","1001438","우리시장","191580","444163","11560","11560700",""
"201810","R","전통시장","1001439","대림중앙시장","191100","443494","11560","11560710",""
"201810","R","전통시장","1001417","구로시장","189861","443289","11530","11530550",""
"201810","R","전통시장","1001418","남구로시장","189947","443413","11530","11530550",""
"201810","R","전통시장","1001419","가리봉시장","190213","442465","11530","11530595",""
"201810","R","전통시장","1001420","고척근린시장","186779","444767","11530","11530730",""
"201810","R","전통시장","1001421","개봉중앙시장","187073","443659","11530","11530750",""
"201810","R","전통시장","1001422","오류시장","186135","444133","11530","11530770",""
"201810","R","전통시장","1001476","풍납시장","210562","448652","11710","11710510",""
"201810","R","전통시장","1001477","마천시장","213336","444311","11710","11710550",""
"201810","R","전통시장","1001478","방이시장","210212","445747","11710","11710562",""
"201810","R","전통시장","1001479","석촌시장","209440","444521","11710","11710600",""
"201810","R","전통시장","1001396","목4동시장","188189","448728","11470","11470540",""
"201810","R","전통시장","1001397","신영시장","185488","448178","11470","11470560",""
"201810","R","전통시장","1001398","월정로시장","185337","448175","11470","11470560",""
"201810","R","전통시장","1001447","상도4동도깨비골목시장","194464","444685","11590","11590560",""
"201810","R","전통시장","1001448","흑석시장","196759","445314","11590","11590605",""
"201810","R","전통시장","1001449","남성사계시장","198305","443198","11590","11590630",""
"201810","R","전통시장","1001451","사당시장","197801","442618","11590","11590650",""
"201810","R","전통시장","1001468","남부종합시장","198664","443924","11650","11650590",""
"201810","R","전통시장","1001469","양재시장","203388","442737","11650","11650651",""
"201810","R","전통시장","1001407","등마루시장","187644","450807","11500","11500520",""
"201810","R","전통시장","1001408","신월중앙시장","186247","451047","11500","11500535",""
"201810","U","관광특구","1001494","종로·청계 관광특구","199768","452273","11110","11110615",""
"201810","R","전통시장","1001450","남성역골목시장","197564","442672","11590","11590650",""
"201810","U","관광특구","1001495","잠실 관광특구","210191","446339","11710","11710566",""
"201810","U","관광특구","1001496","강남 마이스 관광특구","205310","445727","11680","11680580",""
"201810","U","관광특구","1001491","이태원 관광특구","199503","448326","11170","11170650",""
"201810","U","관광특구","1001492","명동 남대문 북창동 다동 무교동 관광특구","198397","451624","11140","11140520",""
"201810","U","관광특구","1001493","동대문패션타운 관광특구","200974","451975","11140","11140590",""
"201810","A","골목상권","1000334","삼양로93길","201388","459892","11305","11305660",""
"201810","A","골목상권","1000354","덕릉로60길","203646","459682","11320","11320513",""
"201810","A","골목상권","1000355","도당로13가길","203280","463008","11320","11320700",""
"201810","A","골목상권","1000356","도당로13바길","203102","463080","11320","11320700",""
"201810","A","골목상권","1000357","도당로19길","203494","463290","11320","11320690",""
"201810","A","골목상권","1000358","도당로29길","203740","463265","11320","11320690",""
"201810","A","골목상권","1000364","도봉로156길","204007","463717","11320","11320522",""
"201810","A","골목상권","1000365","도봉로169나길","203838","464203","11320","11320521",""
"201810","A","골목상권","1000366","도봉로181길","203858","464982","11320","11320521",""
"201810","A","골목상권","1000367","도봉산4길","203720","465496","11320","11320521",""
"201810","A","골목상권","1000368","도봉산길","203752","465255","11320","11320521",""
"201810","A","골목상권","1000039","명동길","198817","451637","11140","11140550",""
"201810","A","골목상권","1000040","삼일대로4길","199076","451495","11140","11140605",""
